Method,A2C,A2P,A2R,C2A,C2P,C2R,P2A,P2C,P2R,R2A,R2C,R2P,Mean
CLIP Zero-Shot,64.78808705612829,86.50596981302095,87.23892586642185,77.91512154923774,86.50596981302095,87.23892586642185,77.91512154923774,64.78808705612829,87.23892586642185,77.91512154923774,64.78808705612829,86.50596981302095,79.1120260712022
Prompt Ensemble,66.27720504009163,87.36201847262896,87.8815698875373,78.78038730943551,87.36201847262896,87.8815698875373,78.78038730943551,66.27720504009163,87.8815698875373,78.78038730943551,66.27720504009163,87.36201847262896,80.07529517742336
Source Prototype,45.84192439862543,60.68934444694752,70.78264861142989,67.57313555830244,67.65037170533904,73.90406242827635,54.55294602389782,47.0332187857961,78.74684415882489,65.47177585496497,48.957617411225655,79.2971389952692,63.37508569824161
T3A (protocol-compatible),59.01489117983964,86.46091462041,81.6157906816617,69.6332921302019,86.46091462041,81.6157906816617,69.6332921302019,59.01489117983964,81.6157906816617,69.6332921302019,59.01489117983964,86.46091462041,74.1812221530283
Tip-Adapter source cache,44.58190148911799,76.2559134940302,71.65480835437228,56.36588380716935,67.22234737553504,65.27427128758319,65.96621343222084,52.9667812142039,75.30410833142071,70.7457766790276,56.40320733104238,77.4724036945258,65.01780137418744
SA-TPA,66.68957617411225,87.99279116918225,88.73077805829699,79.68685620107128,87.92520838026583,88.96029378012393,78.90399670374948,67.90378006872852,89.18980950195088,79.48084054388134,67.0103092783505,88.28564992115341,80.8966574817389
