benchmark,reference,comparator,mean_delta_pp,conditional_ci_low,conditional_ci_high,conditional_p_le_zero,cluster_ci_low,cluster_ci_high,cluster_p_le_zero,target_domain_clusters
office31,satpa,prompt_ensemble,1.5447563802202542,0.9495943240821362,2.1693561747670165,0.0,0.7336410080393155,2.442104911804199,0.0,3
office31,satpa,no_source_anchor,1.0366100973139207,0.4941221999625365,1.5955575245432552,0.0,0.0846463575959205,1.9497203022241587,0.0106,3
office31,satpa,t3a,-0.5863822530955076,-1.7554702512919904,0.6015986849864318,0.8394,-3.531235999365648,1.928750252226988,0.6312,3
officehome,satpa,prompt_ensemble,0.8213623097011199,0.5770577947609127,1.0632038962095975,0.0,0.5086667007766664,1.124169815704226,0.0,4
officehome,satpa,no_source_anchor,0.4231502282588432,0.2112569202203303,0.635822996497154,0.0,0.1263851393217919,0.7262328291311859,0.0032,4
officehome,satpa,t3a,6.7154353484511375,6.133227133750916,7.30757917240262,0.0,3.222786039672792,9.333150580525398,0.0,4
