Method,A2W,D2W,W2A,A2D,D2A,W2D,Mean
CLIP Zero-Shot,82.0125786163522,82.0125786163522,78.62974795882144,83.73493975903614,78.62974795882144,83.73493975903614,81.45908877806993
Prompt Ensemble,83.39622641509435,83.39622641509435,80.5111821086262,83.53413654618474,80.5111821086262,83.53413654618474,82.48051502330176
Source Prototype,74.46540880503144,93.8364779874214,68.26411075612353,74.49799196787149,67.48313809016683,95.58232931726909,79.02157615398063
T3A (protocol-compatible),84.0251572327044,84.0251572327044,80.65317713880015,89.1566265060241,80.65317713880015,89.1566265060241,84.61165362584288
Tip-Adapter source cache,79.87421383647799,80.75471698113208,72.87894923677672,77.10843373493977,75.86084487042953,82.53012048192771,78.16787985694731
SA-TPA,84.65408805031447,86.28930817610063,81.2566560170394,84.13654618473896,81.46964856230032,86.34538152610442,84.02527141943304
