Benchmark,Method,ViT-B/16,ViT-B/32,B16 - B32
office31,CLIP Zero-Shot,79.03284378833207,81.45908877806993,-2.426244989737853
office31,Prompt Ensemble,82.90980413169817,82.48051502330176,0.42928910839640366
office31,SA-TPA,85.05216854047222,84.02527141943304,1.026897121039184
office31,Text + Target,83.0761791716467,82.98866129819578,0.08751787345092055
officehome,CLIP Zero-Shot,82.25783604812828,79.11202607120221,3.145809976926074
officehome,Prompt Ensemble,83.30819863522721,80.07529517742336,3.2329034578038573
officehome,SA-TPA,84.19044126081448,80.8966574817389,3.293783779075582
officehome,Text + Target,83.72033323204539,80.47350725236636,3.2468259796790306
