benchmark,task,threshold,selected_count,selection_coverage,selected_pseudo_label_accuracy,classes_with_selected_samples,target_labels_used_only_for_posthoc_diagnostics,accuracy,balanced_accuracy
office31,A2D,0.5,463,0.929718875502008,86.82505399568035,30,True,83.93574297188755,84.88255666726914
office31,A2D,0.6,436,0.8755020080321285,89.44954128440367,30,True,83.93574297188755,84.88255666726914
office31,A2D,0.7,403,0.8092369477911646,91.81141439205956,30,True,84.13654618473896,85.02918423325157
office31,A2D,0.8,372,0.7469879518072289,94.35483870967742,30,True,84.13654618473896,85.02918423325157
office31,A2D,0.9,326,0.6546184738955824,96.93251533742331,29,True,83.13253012048193,83.47126634468852
office31,A2W,0.5,719,0.9044025157232705,88.31710709318497,30,True,84.65408805031447,83.71400850056811
office31,A2W,0.6,663,0.8339622641509434,90.04524886877829,30,True,84.65408805031447,83.71400850056811
office31,A2W,0.7,617,0.7761006289308177,91.73419773095624,30,True,84.65408805031447,83.71400850056811
office31,A2W,0.8,555,0.6981132075471698,94.23423423423424,30,True,84.52830188679246,83.63336333927779
office31,A2W,0.9,455,0.5723270440251572,96.26373626373626,28,True,80.50314465408806,80.79926195678932
office31,D2A,0.5,2523,0.8956336528221512,87.15814506539834,31,True,81.43414980475683,81.03357722718513
office31,D2A,0.6,2364,0.8391906283280085,90.22842639593908,31,True,81.43414980475683,81.03357722718513
office31,D2A,0.7,2223,0.7891373801916933,92.35267656320289,31,True,81.46964856230032,81.06616113073677
office31,D2A,0.8,2045,0.7259495917642883,93.74083129584352,31,True,81.39865104721335,80.99930324358456
office31,D2A,0.9,1769,0.627973020944267,95.4776710005653,31,True,81.43414980475683,81.03188714713622
office31,D2W,0.5,727,0.9144654088050315,89.54607977991746,30,True,86.28930817610063,85.2774233049562
office31,D2W,0.6,683,0.8591194968553459,91.21522693997072,30,True,86.28930817610063,85.2774233049562
office31,D2W,0.7,639,0.8037735849056604,92.33176838810641,30,True,86.28930817610063,85.2774233049562
office31,D2W,0.8,581,0.730817610062893,95.18072289156626,30,True,86.28930817610063,85.2774233049562
office31,D2W,0.9,489,0.6150943396226415,96.93251533742331,28,True,81.50943396226415,81.57706169712431
office31,W2A,0.5,2531,0.8984735534256301,86.96167522718294,31,True,81.2566560170394,80.87576652882686
office31,W2A,0.6,2366,0.8399006034788783,90.23668639053254,31,True,81.2566560170394,80.87576652882686
office31,W2A,0.7,2217,0.7870074547390842,92.28687415426252,31,True,81.2566560170394,80.87576652882686
office31,W2A,0.8,2038,0.7234646787362442,93.96467124631992,31,True,81.2566560170394,80.87576652882686
office31,W2A,0.9,1755,0.6230031948881789,95.66951566951568,31,True,81.22115725949591,80.84045993564371
office31,W2D,0.5,466,0.9357429718875502,89.69957081545064,30,True,86.54618473895582,87.20346448782634
office31,W2D,0.6,440,0.8835341365461847,92.04545454545455,30,True,86.34538152610442,86.88088384266506
office31,W2D,0.7,417,0.8373493975903614,93.28537170263789,30,True,86.34538152610442,86.88088384266506
office31,W2D,0.8,393,0.7891566265060241,95.16539440203562,30,True,86.34538152610442,86.88088384266506
office31,W2D,0.9,339,0.6807228915662651,97.6401179941003,29,True,85.34136546184739,85.26798061685858
officehome,A2C,0.5,2992,0.6854524627720504,83.35561497326202,65,True,66.75830469644902,66.53647635071964
officehome,A2C,0.6,2650,0.6071019473081328,87.39622641509433,65,True,66.75830469644902,66.51449291410205
officehome,A2C,0.7,2307,0.5285223367697595,91.37407889033376,65,True,66.68957617411225,66.46487720183573
officehome,A2C,0.8,1989,0.4556701030927835,93.4640522875817,65,True,66.64375715922107,66.40286325977989
officehome,A2C,0.9,1582,0.3624284077892325,96.1441213653603,62,True,65.63573883161511,65.73125508047725
officehome,A2P,0.5,4120,0.9281369677855373,91.6747572815534,64,True,87.99279116918225,87.35109388144531
