benchmark,estimated_prior_accuracy,permuted_prior_accuracy,permuted_minus_estimated,estimated_prior_correction,no_prior_correction,correction_gain
office31,84.02527141943303,83.99180421729113,-0.03346720214189247,80.63640011814884,80.4571886486148,0.17921146953403877
officehome,80.89665748173888,80.88256676817204,-0.014090713566844215,77.14528031855319,76.96069035385675,0.18458996469644262
