benchmark,method,noise_rate,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,clean_accuracy,drop_from_clean
office31,source_anchored,0.0,84.02527141943303,0.0,83.80723792350076,0.0,84.02527141943303,0.0
office31,source_anchored,0.1,83.93276475605236,0.07296600278988426,83.71237037725969,0.1078768162447711,84.02527141943303,-0.09250666338066083
office31,source_anchored,0.2,83.90249932826194,0.06303070351961386,83.71173221211885,0.06281893458114009,84.02527141943303,-0.12277209117108612
office31,source_anchored,0.3,83.78528623438771,0.03448176810122405,83.58422597151831,0.03582970679247172,84.02527141943303,-0.2399851850453132
office31,source_anchored,0.4,83.70854610866827,0.048813272953385,83.49923176918142,0.06111508215313271,84.02527141943303,-0.3167253107647525
office31,source_anchored,0.5,83.64906905268242,0.08399917303383629,83.44564026272185,0.10508833940870592,84.02527141943303,-0.37620236675060426
office31,without_source_fusion,0.0,83.03447492355878,0.0,82.71770628646703,0.0,83.03447492355878,0.0
office31,without_source_fusion,0.1,82.98017298764856,0.06927286912248141,82.65960850658396,0.09128489734742541,83.03447492355878,-0.05430193591021748
office31,without_source_fusion,0.2,82.93287695224674,0.05225069716854804,82.60443872377645,0.06485543245284309,83.03447492355878,-0.10159797131203163
office31,without_source_fusion,0.3,82.89639581224948,0.0700764022744411,82.58923738625954,0.07075801886964685,83.03447492355878,-0.1380791113092954
office31,without_source_fusion,0.4,82.87191285957489,0.05618154828220262,82.54146626275482,0.0721830855163823,83.03447492355878,-0.1625620639838843
office31,without_source_fusion,0.5,82.75557944734645,0.06910683988471997,82.45039168158704,0.06525746072591454,83.03447492355878,-0.2788954762123268
officehome,source_anchored,0.0,80.89665748173888,0.0,79.07600041046659,0.0,80.89665748173888,0.0
officehome,source_anchored,0.1,80.8995071649761,0.02151008926613563,79.10175701232183,0.02371420708292648,80.89665748173888,0.0028496832372155723
officehome,source_anchored,0.2,80.89026190943011,0.02074784669064496,79.10756299228191,0.03234971694544688,80.89665748173888,-0.006395572308775854
officehome,source_anchored,0.3,80.86907211568395,0.021394133846351773,79.07777809332681,0.02470137951075659,80.89665748173888,-0.02758536605493589
officehome,source_anchored,0.4,80.83513533834932,0.017789698399262244,79.03414310940002,0.022269756773811652,80.89665748173888,-0.06152214338956696
officehome,source_anchored,0.5,80.805267291668,0.03958111913226407,79.00384299407364,0.04702649367181246,80.89665748173888,-0.09139019007088223
officehome,without_source_fusion,0.0,80.51854952538078,0.0,78.70233426759542,0.0,80.51854952538078,0.0
officehome,without_source_fusion,0.1,80.51315143458005,0.01073276204413929,78.71045074103607,0.01837013900397409,80.51854952538078,-0.005398090800724731
officehome,without_source_fusion,0.2,80.43546715286996,0.027466081816156576,78.62726709508316,0.039281413992062,80.51854952538078,-0.08308237251081607
officehome,without_source_fusion,0.3,80.42732126366067,0.02267695523949599,78.62378247836668,0.01739244973626158,80.51854952538078,-0.09122826172010434
officehome,without_source_fusion,0.4,80.38428057950271,0.014289522439985701,78.57619953256139,0.016597280633305574,80.51854952538078,-0.1342689458780626
officehome,without_source_fusion,0.5,80.31983958385227,0.014211874657029902,78.50037135897125,0.019320985538581536,80.51854952538078,-0.19870994152850585
